MAP_SYMBOL,GIS_CODE,STRAT_NAME,STRAT_UNIT_DESC
"Qps1","I---s---01","Pleistocene spring unit 1","Pleistocene mound spring clastic sediments."
"Qps2","I---s---02","Pleistocene spring unit 2","Pleistocene mound spring carbonate. Example: Czm on CURDIMURKA."
"Qpsd","I---sd","Dalhousie Formation","Limestone, pale grey, cream, dolomitic; clay with scattered silcrete ganules."
"Qpsd1","I---sd--01","Dalhousie Formation unit 1","Older unit forming higher-level mesas. Based on Qpd1 on DALHOUSIE."
"Qpsd2","I---sd--02","Dalhousie Formation unit 2","Younger unit forming lower-level mesas. Based on Qpd2 on DALHOUSIE."
"Qpsw","I---sw","Wondillina Limestone","Limestone, pale brown arenaceous, pebbly. Spring deposits."
"Qpv","I---v","Pleistocene volcanic rocks","Undifferentiated Pleistocene volcanic rocks."
"Qpv1","I---v---01","Pleistocene volcanic unit 1","Pleistocene basalt lava."
"Qpv2","I---v---02","Pleistocene volcanic unit 2","Pleistocene basaltic pyroclastics."
"Qr","IH--r","Quaternary regolith/colluvial sediments","Undifferentiated Quaternary colluvial/regolith sediments."
"Qr1","IH--r---01","Quaternary regolith/colluvial unit 1","Quaternary gibber-mantled colluvium. Based on Q on MURLOOCOPPIE."
"Qr10","IH--r---10","Quaternary regolith/colluvial unit 10","Sand, on flat-lying plains with superficial, densely mulga-vegetated dendritic drainage pattern and (incipient) tiger-bush patterns in intervening areas."
"Qr11","IH--r---11","Quaternary regolith/colluvial unit 11","Quaternary lag on colluvial slopes, dominated by quartz pebbles to boulders."
"Qr12","IH--r---12","Quaternary regolith/colluvial unit 12","Quaternary sand plain, erosional, with badlands topography in upper catchment areas of drainage channels."
"Qr13","IH--r---13","Quaternary regolith/colluvial unit 13","Quaternary sand plain with abundant claypans."
"Qr14","IH--r---14","Quaternary regolith/colluvial unit 14","Quaternary sand plain associated with dyke swarms; abundant corkwood trees."
"Qr15","IH--r---15","Quaternary regolith/colluvial unit 15","Quaternary dune and claypan terrain adjacent to large swamp areas."
"Qr16","IH--r---16","Quaternary regolith/colluvial unit 16","Sheetwash fan deposits:  silty quartz sand, orange to moderate red, fine-grained to granule-bearing, unconsolidated to semi-consolidated, poorly to moderately sorted; minor gravel.  Surficial tiger-bush stripe pattern; often with surface lag of miscellaneous composition."
"Qr17","IH--r---17","Quaternary regolith/colluvial unit 17","Polymict gravels, subangular to subrounded; distal landslide deposits as surficial cobble lag."
"Qr2","IH--r---02","Quaternary regolith/colluvial unit 2","Quaternary outwash/aeolian quartz/ironstone sand/silt/clay adjacent to dissected ferruginous duricrust (T\fe3). GILES: interim unit for compilation."
"Qr3","IH--r---03","Quaternary regolith/colluvial unit 3","Quaternary earthy, rock fragment-rich colluvium derived from weathering of unkaolinised basement, Based on Qi, Eateringinna 1:100 000."
"Qr4","IH--r---04","Quaternary regolith/colluvial unit 4","Quaternary calcareous sandy regolith. Interpreted from Landsat imagery. NOORINA, WELLS, WYOLA."
"Qr5","IH--r---05","Quaternary regolith/colluvial unit 5","Quaternary ferruginous sandy regolith. Interpreted from Landsat imagery. NOORINA, WELLS, WYOLA."
"Qr6","IH--r---06","Quaternary regolith/colluvial unit 6","Clay, silt and sand, as sheetwash and on sand plains."
"Qr7","IH--r---07","Quaternary regolith/colluvial unit 7","Colluvium, on high-angle slopes, derived from fresh to weathered basement and, locally, silcrete."
"Qr8","IH--r---08","Quaternary regolith/colluvial unit 8","Colluvium, low angle, resting on and derived from eroding surfaces of silcrete capped mesas."
"Qr9","IH--r---09","Quaternary regolith/colluvial unit 9","Lag, derived from ferruginous, deeply-weathered Algebuckina Sandstone."
"Qs","IH--s","Quaternary spring sediments","Undifferentiated Quaternary mound and other spring sediments."
"Qs1","IH--s---01","Quaternary spring unit 1","Quaternary mound spring carbonate. Based on Qm on CURDIMURKA."
"Qv","IH--v","Quaternary volcanic rocks","Undifferentiated Quaternary volcanic rocks."
"R","R-","Triassic rocks","Undifferentiated Triassic rocks."
"R-c","R----c","Cuddapan Formation","Sandstone, siltstone and minor coal."
"R-p","R----p","Peera Peera Formation","Shale, grey; siltstone; minor sandstone and coal; sandstone; black silty carbonaceous shale."
"R-w","R----w","Walkandi Formation","Shale, red-brown; interbedded with green siltstone and fine-grained sandstone."
"R1","R-------01","Triassic unit 1","Sandstone, mudstone, carbonaceous mudstone, coal, siltstone: Boolcunda Basin. Fluvial and lacustrine."
"RJ","RJ","Triassic-Jurassic rocks","Undifferentiated Triassic-Jurassic rocks."
"RJ-l","RJ---l","Leigh Creek Coal Measures","Mudstone, carbonaceous, grey; coal; sandstone; siltstone. Fluvial and lacustrine."
"RK","RK","Mesozoic rocks","Undifferentiated Mesozoic rocks."
"Rnt","PR-n-t","Tinchoo Formation","Sandstone; siltstone; mudstone, interbedded. High sinuosity streams and fluvio-lacustrine environments."
"Rntd","PR-n-td","Doonmulla Member","Sandstone, fluvial, mainly near base; siltstone, near top."
"Rntg","PR-n-tg","Gilpeppee Member","Siltstone, light grey to green, variably carbonaceous, minor local coal."
"S","S-","Silurian rocks","Undifferentiated Silurian rocks."
"S1","S-------01","Silurian unit 1","Mafic pegmatite veins: diopside, mostly retrogressed to actinolite, with or without LREE–Y enriched sphene.  Sphene Fission Track ages ~420Ma and sphene-diopside U-Pb concordia age 439+/-1.0Ma."
"SD","SD","Silurian-Devonian rocks","Undifferentiated Silurian-Devonian rocks."
"SD-m","SD---m","Mereenie Sandstone","Sandstone, pink-white, flat to cross-bedded fine-medium-grained quartz. Common coarse gritty bands; rare thin beds red-brown micaceous shale."
"T","ap","Tertiary rocks","Undifferentiated Tertiary rocks."
"T-s","ap---s","Sugarloaf Dam Sandstone","Sandstone, well sorted, medium-grained, kaolinitic, with rhizomorphs, variably silicified."
"T1","ap------01","Tertiary unit 1","Tertiary conglomerate, ferruginous grit, grit, sand. Based on T on TORRENS."
"T2","ap------02","Tertiary unit 2","Tertiary silcrete conglomerate as talus around silcrete capped mesas. Based on Tt, Eateringinna 1:100 000."
"TQ","aI","Tertiary-Pleistocene rocks","Undifferentiated Tertiary to Pleistocene rocks."
"TQ\we","aI----we","Tertiary-Pleistocene weathering","Undifferentiated Tertiary to Pleistocene weathering."
"TQ\we1","aI----we01","Tertiary-Pleistocene weathering unit 1","Tertiary to Pleistocene yellow, yellow-brown weathering and rhizomorph development. AGSO-MESA Officer Basin seismic transect."
"TQa","aI--a","Tertiary-Pleistocene alluvial/fluvial sediments","Undifferentiated Tertiary to Pleistocene alluvial/fluvial sediments."
"TQa1","aI--a---01","Tertiary-Pleistocene alluvial/fluvial unit 1","Tertiary to Pleistocene auriferous conglomerate, Mittopitta. BURRA: interim unit for compilation."
"TQc","aI--c","Tertiary-Pleistocene coastal sediments","Undifferentiated Tertiary to Pleistocene coastal sediments."
"TQe","aI--e","Tertiary-Pleistocene aeolian sediments","Undifferentiated Tertiary to Pleistocene aeolian sediments."
"TQi","aI--i","Tertiary-Pleistocene intrusive rocks","Undifferentiated Tertiary to Pleistocene intrusive rocks."
"TQk","aI--k","Tertiary-Pleistocene karst-related sediments","Undifferentiated Tertiary to Pleistocene karst-related sediments."
"TQl","aI--l","Tertiary-Pleistocene lacustrine sediments","Undifferentiated Tertiary to Pleistocene lacustrine/playa sediments."
"TQm","aI--m","Tertiary-Pleistocene marine sediments","Undifferentiated Tertiary to Pleistocene marine sediments."
"TQr","aI--r","Tertiary-Pleistocene regolith/colluvial sediments","Undifferentiated Tertiary to Pleistocene regolith/colluvial sediments."
"TQr1","aI--r---01","Tertiary-Pleistocene regolith/colluvial unit 1","Ferricrete, massive, nodular, pisolitic, cellular or vermiform, variably dissected and reworked, often with ferruginous lag; ferruginous gravel, sand, silt and clay. Alluvial, colluvial to regolith origin. Early Tertiary to Pleistocene."
"TQs","aI--s","Tertiary-Pleistocene spring sediments","Undifferentiated Tertiary to Pleistocene mound and other spring sediments."
"TQv","aI--v","Tertiary-Pleistocene volcanic rocks","Undifferentiated Tertiary to Pleistocene volcanic rocks."
"T\dw","ap----dw","Tertiary deep weathering","Undifferentiated Tertiary deep weathering."
"T\dw1","ap----dw01","Tertiary deep weathering unit 1","Tertiary kaolinisation in which relict granitic/gneissic texture is preserved. Based on Tin, Eateringinna 1:100 000."
"T\dw2","ap----dw02","Tertiary deep weathering unit 2","Tertiary kaolinite +/- quartz rock without relict texture preserved. Based on Tik, Eateringinna 1:100 000."
"T\fe","ap----fe","Tertiary ferricrete","Undifferentiated Tertiary ferricrete."
"T\fe1","ap----fe01","Tertiary ferricrete unit 1","Tertiary ochre, goethitic, nickeliferous in part, developed on ultrabasic rocks. Based on T with red dots on MANN."
"T\fe2","ap----fe02","Tertiary ferricrete unit 2","Tertiary titaniferous iron-pan veins, flats or rhizomorphic networks. Based on Tif, Eateringinna 1:100 000."
"T\fe3","ap----fe03","Tertiary ferricrete unit 3","Tertiary ferricrete duricrust of the Carnadinna Surface; developed on Mesozoic and Palaeozoic units."
"T\po","ap----po","Tertiary porcellanite","Undifferentiated Tertiary porcellanite."
"T\po1","ap----po01","Tertiary porcellanite unit 1","Tertiary white, vitreous, translucent silicified claystone (porcellanite). Based on Tap, Eateringinna 1:100 000."
"T\po2","ap----po02","Tertiary porcellanite unit 2","Tertiary indurated claystone of derived origin; may be silicified (related to porcellanite). Based on Tak, Eateringinna 1:100 000."
"T\sf","ap----sf","Tertiary silcrete/ferricrete","Undifferentiated Tertiary silcrete/ferricrete. BARTON sheet."
"T\sf1","ap----sf01","Tertiary silcrete/ferricrete unit 1","Tertiary silcrete and ferricrete, developed in kaolinised basement. Based on Tiq, Eateringinna 1:100 000."
"T\sf2","ap----sf02","Tertiary silcrete/ferricrete unit 2","Tertiary grey, red-brown and variegated silcrete and ferricrete, developed in thin alluvial/colluvial grit and sand. Based on Taq, Eateringinna 1:100 000."
"T\sf3","ap----sf03","Tertiary silcrete/ferricrete unit 3","Undifferentiated Tertiary silcrete/ferricrete, both present, age relationship uncertain."
"T\si","ap----si","Tertiary silcrete","Undifferentiated Tertiary silcrete."
"T\si1","ap----si01","Tertiary silcrete unit 1","Tertiary jasper, ferruginous chalcedony, formed in ultrabasic rocks. Based on T with black dots on MANN."
"T\si2","ap----si02","Tertiary silcrete unit 2","Tertiary undifferentiated pedogenic silcrete."
"T\si3","ap----si03","Tertiary silcrete unit 3","Tertiary undifferentiated groundwater silcrete."
"T\si4","ap----si04","Tertiary silcrete unit 4","Tertiary undifferentiated silcrete of mixed (pedogenic and groundwater) origin."
"T\si5","ap----si05","Tertiary silcrete unit 5","Tertiary undifferentiated chalcedony & chalcedonic silcrete."
"Ta","a-","Palaeocene rocks","Undifferentiated Paleocene rocks."
"Tae","ae","Paleocene-Eocene rocks","Undifferentiated Paleocene - Eocene rocks."
"Tae1","ae------01","Paleocene-Eocene unit 1","Sand; minor conglomerate and lignite, frequently silcreted inland.  Fluvial, estuarine and marginal marine. Paleocene-Eocene."
"Tae2","ae------02","Paleocene-Eocene unit 2","Paleocene to Eocene sandstone, fine-grained to pebbly silcreted. Based on Tp-e on KINGOONYA."
"Tae3","ae------03","Paleocene-Eocene unit 3","Undifferentiated Eyre Formation and Mount Sarah Sandstone. Based on T on DALHOUSIE."
"Tae4","ae------04","Paleocene-Eocene unit 4","Sand; siliceous. Fluvial, to marginal marine. Paleocene-Eocene. St Vincent Basin."
"Tae\re","ae----re","Paleocene-Eocene regolith","Undifferentiated Palaeocene to Eocene regolith."
"Tae\re1","ae----re01","Mulligan Dam Regolith","Sandstone, gravelly to pebbly, massive to indistinctly bedded, contains well rounded silcrete pebbles; shale, highly weathered, pale grey to khaki."
"Taee","ae---e","Eyre Formation","Pyritic, carbonaceous sand, grain-size ranges from silt to small cobble, with beds of lignite and clay. Clays are montmorillonite, kaolinite and illite. Braided streams."
"Taee1","ae---e--01","Eyre Formation Unit 1","Paleocene to Eocene basal pebble or grit band, with black fossil wood, banded agate bleached and multicoloured by later weathering events. Based on dotted unit in Tee, INNAMINCKA."
"Tam","am","Paleocene-Miocene rocks","Undifferentiated Paleocene - Miocene rocks."
"Tao","ao","Palaeocene-Oligocene rocks","Undifferentiated Paleocene - Oligocene rocks."
"Tb","eI-ib","Burdunga Subgroup","Sand, fine to medium grained, well sorted, well rounded, aeolian, frosted; mud; silt; lignite; minor conglomerate.  Parallel lamination, cross lamination, small ripples, vertical burrows, bioturbation, sponge spicules."
"Tb1","eI-ib---01","Burdunga Subgroup unit 1","Ooldea Sand and Khasta Formation undifferentiated. Based on Czs, TALLARINGA."
"Tb2","eI-ib---02","Burdunga Subgroup unit 2","Khasta Formation and Pidinga Formation: fluvial to estuarine and marine sand and lignite."
"Tba","eI-iba","Pantoulbie Formation","Sand, orange-brown, clayey; interbedded with quartz sand, sandy clay and minor lateritic gravel."
"Tbb","eI-ibb","Barton Sand","Sand, medium-grained, poorly cemented, beach-barrier and aeolian."
"Tbe","eI-ibe","Poelpena Formation","Sand, silt, clay, carbonaceous, micaceous, pyritic, frequent interbeds of dark brown lignite."
"Tbe1","eI-ibe--01","Poelpena Formation unit 1","Marine sand and sandy clay with glauconite and sponge spicules. Based on dashed unit within Tep on KIMBA."
"Tbe2","eI-ibe--02","Poelpena Formation unit 2","Dark brown lignite interbeds. Based on unit within Tep on ELLISTON, KIMBA."
"Tbh","eI-ibh","Hampton Sandstone","Sand, generally quartz-rich, well rounded, fine-medium grains, clayey at base, glauconitic and fossiliferous. Grades upward and landward into neritic limestone. Marine."
"Tbk","eI-ibk","Khasta Formation","Sandstone, fine grained, sponge spicules, lamination, cross lamination, vertical Skolithus burrows, small ripples."
"Tbk1","eI-ibk--01","Khasta Formation unit 1","Prominent grit marker; beach or near-shore origin. AGSO-MESA Officer Basin seismic transect."
"Tbkm","eI-ibkm","Moorillana Member","Sandstone, very fine grained, pale yellow and darkish red, reworked coarse sand and pebble horizon with good to excellent sorting."
"Tbo","eI-ibo","Ooldea Sand","Sand, medium-grained, quartz, well sorted, well rounded, frosted grains, trace quantities of heavy minerals. Aeolian dunes."
"Tbp","eI-ibp","Pidinga Formation","Siltstone, carbonaceous; lignite; sand, carbonaceous.  Palaeochannel fill."
"Tbp1","eI-ibp--01","Pidinga Formation unit 1","Carbonaceous clay, poor quality coal. Based on unit within Tep on TARCOOLA."
"Tbp2","eI-ibp--02","Pidinga Formation unit 2","Silt and clay. Based on Tepw on TALLARINGA."
"Tbpa","eI-ibpa","Anthony Member","Estuarine-fluvial clastic sediments and lignite."
"Tbpm","eI-ibpm","Maralinga Member","Gravel, sand, silt, clay and lignite; upward-fining succession."
"Tbw","eI-ibw","Wanilla Formation","Sand, micaceous, carbonaceous; interbeds of lignite."
"Te","e-","Eocene rocks","Undifferentiated Eocene rocks."
"Te1","e-------01","Eocene unit 1","Eocene brown fine to medium-grained sandstone; gravel; ""ant-nest"" silcrete. Based on T on CURDIMURKA."
"Te2","e-------02","Eocene unit 2","Undifferentiated North Maslin Sand and South Maslin Sand."
"Te3","e-------03","Eocene unit 3","Undifferentiated Blanche Point Formation and Tortachilla Limestone. Willunga Basin mapping (Fairburn)."
"TeQ","eI","Eocene-Pleistocene rocks","Undifferentiated Eocene - Pleistocene rocks."
"TeQ\si","eI----si","Eocene-Quaternary silcrete","Eocene to Quaternary undifferentiated silcrete: EYRE DHDB."
"TeQi","eI-i","Immarna Group","Sand, very fine to medium quartz grains, well sorted, well rounded, aeolian; silt; clay; lignite; minor conglomerate.  Calcareous, sponge spicules, gastropods, lamination, cross lamination, ripples, bioturbation, intraclasts.  Marine, estuarine, fluvial."
